SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Target_L,Target_a,Target_b
0.0,0.0,0.0,0.0,0.0,37.0,196.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,84.2,11.7,55.48
4.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,77.0999999999999,22.38,35.97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,77.34,24.13,38.73
0.0,0.0,0.0,0.0,0.0,25.0,161.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,84.4599999999998,11.88,56.46
0.0,7.0,0.0,0.0,7.0,0.0,0.0,275.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,65.44,22.65,15.83
12.0,0.0,0.0,0.0,0.0,0.0,152.0,271.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,78.99,13.95,46.19
0.0,0.0,0.0,0.0,0.0,0.0,140.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,85.4599999999998,10.68,55.09
0.0,11.0,0.0,0.0,0.0,0.0,0.0,261.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,71.75,15.63,27.62
0.0,0.0,0.0,0.0,0.0,0.0,200.0,250.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,85.2099999999998,10.48,55.94
0.0,20.0,0.0,0.0,43.0,0.0,48.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,70.56,-6.31,23.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,73.0999999999999,28.54,23.17
0.0,30.0,0.0,0.0,0.0,0.0,6.0,233.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,66.48,8.52,17.2
0.0,0.0,0.0,0.0,2.0,0.0,320.0,220.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,86.02,6.13,54.13
0.0,21.0,0.0,0.0,0.0,0.0,7.0,207.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,69.09,9.16,18.49
