SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Target_L,Target_a,Target_b
0.0,278.0,0.0,0.0,186.0,0.0,304.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.81,-4.02,5.11
0.0,505.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,29.9,2.04,3.8
0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,77.0,0.0,640.0,0.0,0.0,630.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,52.26,39.01,-8.0
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,165.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,76.62,4.76,7.29
0.0,56.0,0.0,0.0,230.0,0.0,800.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,44.29,-19.87,21.01
0.0,55.0,0.0,0.0,0.0,0.0,770.0,470.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,45.41,6.82,28.26
0.0,8.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,69.65,21.03,4.56
0.0,11.0,0.0,0.0,0.0,73.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,83.94,0.48,9.44
0.0,25.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,68.98,7.48,13.06
0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.56,37.48,16.04
0.0,11.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,350.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.55,37.1,15.93
0.0,0.0,0.0,0.0,75.0,0.0,1264.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,66.81,-38.91,58.22
0.0,0.0,0.0,0.0,0.0,0.0,300.0,290.0,22.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,81.33,15.58,65.05
0.0,0.0,0.0,0.0,40.0,0.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,76.61,-33.57,65.86
