SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Pred_L,Pred_a,Pred_b,Target_L,Target_a,Target_b,Delta_E
0.0,10.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,357.0,0.0,878.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,36.963932,35.69978,1.3494154,36.95,35.68,1.37,0.03176563509462937
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,818.0,0.0,122.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,45.197544,52.40997,22.706676,45.13,52.42,22.7,0.06861045789430542
0.0,65.0,0.0,180.0,0.0,0.0,5.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.99924,-2.5114667,-20.789438,42.02,-2.46,-20.83,0.06873879907914324
0.0,265.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,364.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.5642,-0.07022758,2.017566,38.56,0.0,2.01,0.07075880137008161
0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,63.0,0.0,0.0,0.0,153.0,205.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,50.204937,23.711136,27.97935,50.25,23.67,27.93,0.07847402277341269
0.0,0.0,0.0,9.0,0.0,0.0,59.0,0.0,0.0,0.0,690.0,270.0,0.0,0.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.620834,12.32638,-13.45917,34.54,12.33,-13.48,0.0835534136347878
0.0,387.0,0.0,0.0,0.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.46145,1.0950941,4.9988337,33.44,1.12,4.92,0.08541133064642006
0.0,0.0,0.0,0.0,490.0,33.0,0.0,113.0,0.0,300.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.924923,-10.006022,-3.2002351,34.89,-10.07,-3.15,0.08852291546362559
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,778.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,38.35546,30.956133,17.040571,38.28,31.0,17.02,0.08967652403704361
0.0,91.0,0.0,0.0,455.0,0.0,143.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.73445,-9.131377,-2.346359,32.83,-9.14,-2.32,0.09949223691825144
