"SK1","SK2","SB1","SB2","SG1","SY1","SY2","SY3","SO1","SP1","SV1","SR1","SR2","SR3","SW1","Base_A","Base_B","Base_C","UT578_A","UT578_AF","UT578_AS","UT6581","Target_L","Target_a","Target_b"
0,0,0,0,0,0,50,1500,0,0,0,0,0,0,0,0,0,1,0,0,0,1,76.51000000000001,26.91,80.41
0,0,0,0,0,0,0,1350,0,0,0,143,0,0,0,0,0,1,0,0,0,1,60.92,44.39,53.39
0,0,0,0,0,0,0,1327,167,0,0,0,0,0,0,0,0,1,0,0,0,1,67.17,37.34,64.8499999999999
0,0,0,0,0,0,0,1250,180,0,0,0,0,0,0,0,0,1,0,0,0,1,66.62000000000001,38.06,64.62000000000001
0,0,0,0,11,0,0,1228,0,0,0,0,0,31,0,,,1,,1,,,61.04,22.05,56.21
0,10,0,0,0,0,0,1200,0,0,0,0,90,0,40,,,1,,1,,,52.43,31.4,40.78
0,63,0,0,0,0,0,1140,0,0,0,0,0,30,0,,,1,1,,,,46.14,6.07,28.35
0,45,0,0,0,0,0,1140,0,0,0,0,0,23,0,,,1,1,,,,50.1,8.91,34.79
0,6,0,0,0,0,0,1137,0,0,0,0,52,0,0,,,1,,1,,,56.21,32.05,47.48
0,0,0,0,0,0,0,1100,65,0,0,0,0,0,0,,,1,,1,,,72.17,33.62,74.92
0,0,0,0,18,0,243,1099,0,0,0,132,0,0,0,,,1,,,,1,54.19,23.54,42.72
0,0,0,0,18,0,243,1099,0,0,0,132,0,0,0,0,0,1,0,0,0,1,54.19,23.54,42.72
0,17,0,0,0,0,0,1094,0,0,0,0,83,0,0,,,1,,1,,,49.86,26.66,36.62
0,11,0,0,0,0,0,1080,0,0,0,0,90,0,0,0,0,1,0,0,1,0,52.13,31.48,39.2
0,13,0,0,0,0,34,1075,0,0,0,0,161,0,0,,,1,,1,,,48.95,32.74,33.38
0,0,0,0,0,0,0,1050,0,0,0,0,250,0,0,,,1,,,,1,51.88,51.26,39.38
0,0,0,0,0,0,0,1049,182,0,0,0,0,0,0,,,1,1,,,,68.2,39.59,66.38
0,0,0,0,0,0,0,1045,225,0,0,0,0,0,0,0,0,1,0,0,1,0,66.81,39.66,64.61
0,60,0,0,110,0,0,1024,0,0,0,0,0,0,0,,,1,,1,,,43.93,-6.79,24.29
0,0,0,0,0,0,0,1023,170,0,0,0,0,0,0,,,1,,1,,,67.78,37.18,66.22
7,0,0,0,0,0,638,1000,0,0,0,0,10,0,70,,,1,,,,1,71.24,27.86,70.54000000000001
7,0,0,0,0,0,638,1000,0,0,0,0,10,0,70,0,0,1,0,0,0,1,71.24,27.86,70.54000000000001
0,64,0,0,0,0,0,1000,0,0,0,0,0,160,40,,,1,,1,,,41.02,12.46,21.11
0,57,0,0,0,0,0,1000,0,0,0,0,0,221,0,,,1,,1,,,39.78,15,20.25
0,48,0,0,0,0,0,1000,0,0,0,0,0,221,0,,,1,,1,,,40.54,16.13,21.33
0,0,0,0,0,0,0,1000,0,0,0,0,263,0,0,,,1,,,,1,51.99,52.51,38.84
0,0,0,0,0,0,0,999,0,0,0,0,271,0,0,,,1,,,1,,51.75,51.85,39.54
0,87,0,0,0,0,0,985,0,0,0,0,0,33,0,,,1,,1,,,40.88,4.21,21.39
0,57,0,0,0,0,0,958,0,0,0,0,0,31,0,,,1,,1,,,44.13,6.5,26.44
0,30,0,0,0,0,0,950,0,0,0,0,0,240,0,,,1,,,1,,42.49,20.51,24.29
0,60,0,0,27,0,0,949,0,0,0,0,0,232,0,,,1,,,,1,39.2,11.13,16.7
0,0,0,0,0,0,0,947,0,0,0,0,202,118,0,,,1,,1,,,46.75,39.81,31.04
0,0,0,0,0,0,0,946,248,0,0,0,0,0,0,,,1,,,1,,66.3199999999997,39.27,62.33
0,37,0,0,0,0,0,930,0,0,0,0,0,263,0,,,1,,,,1,41.42,18.08,20.97
0,50,0,0,0,0,0,930,0,0,0,0,0,61,0,,,1,,1,,,44.18,9.380000000000001,25.99
4,0,0,0,0,0,405,913,19,0,0,0,0,0,0,,,1,,,1,,74.69,24.72,77.66
2,0,0,0,0,0,300,913,35,0,0,0,0,0,0,,,1,,,1,,73.83,27.88,75.76000000000001
0,22,0,0,0,0,0,901,0,0,0,0,0,345,0,,,1,,,1,,42.12,23.26,22.87
12.5,0,0,0,0,0,467,900,71,0,0,0,0,0,0,,,1,,,,1,68.13,26.28,66.74
12.5,0,0,0,0,0,467,900,71,0,0,0,0,0,0,0,0,1,0,0,0,1,68.13,26.28,66.74
0,0,0,0,0,0,61,900,0,0,0,0,320,6,0,,,1,,,1,,50.77,52.14,38.47
0,0,0,0,0,0,61,900,0,0,0,0,237,0,0,,,1,,,1,,52.69,52.43,41.58
0,0,0,0,0,0,0,900,124,0,0,0,0,0,156,,,1,,,,1,70.33,33.2,64.93000000000001
0,53,0,0,0,0,0,900,0,0,0,0,0,93,0,,,1,,,1,,42.8,11.3,23.47
0,0,0,0,0,58,0,895,0,0,0,0,0,0,167,,,1,,,,1,75.37000000000001,24.07,72.84
0,118,0,0,0,0,80,880,0,0,0,0,0,117,0,,,1,,,1,,39.03,6.42,16.59
0,11,0,0,0,0,360,870,0,0,0,0,0,29,0,,,1,,,,1,56.94,19.49,46.96
0,0,0,0,67,0,329,866,0,0,0,0,0,6,0,,,1,,1,,,59.12,-8.109999999999991,51.13
11,0,0,0,0,0,467,850,42,0,0,0,0,0,0,,,1,,,,1,69.89,24.59,69.5
11,0,0,0,0,0,467,850,42,0,0,0,0,0,0,0,0,1,0,0,0,1,69.89,24.59,69.5
9,0,0,0,0,0,0,845,388,0,0,0,0,0,0,,,1,,,,1,60.03,39.48,51.94
4,0,0,0,0,0,0,820,600,0,0,0,0,0,350,,,1,,,,1,62.7,39.2,48.89
4,0,0,0,0,0,0,820,600,0,0,0,0,0,350,0,0,1,0,0,0,1,62.7,39.2,48.89
0,16,0,0,0,0,414,815,0,0,0,0,24,0,0,,,1,,,1,,57.36,18.76,48.43
0,54,0,0,0,0,315,810,0,0,0,0,108,0,36,,,1,,,,1,42.41,11.16,21.86
0,0,0,0,0,0,0,809,282,0,0,0,0,0,0,,,1,1,,,,66.59,42.54,62.17
0,20,0,0,0,0,185,800,0,0,0,0,0,38,0,,,1,,,1,,52.36,15.77,39.45
0,0,0,0,0,0,0,800,400,0,0,0,0,0,0,,,1,1,,,,63.32,44.83,56.9
0,0,0,0,0,62,638,787,0,0,0,0,7,0,0,,,1,,,,1,72.33,27.7,73
0,0,0,0,0,62,638,787,0,0,0,0,7,0,0,0,0,1,0,0,0,1,72.33,27.7,73
0,0,0,0,0,0,0,784,484,0,0,0,0,0,0,,,1,1,,,,63.07,46.59,56.77
9,0,0,0,0,0,180,780,200,0,0,0,0,0,0,,,1,,,,1,64.40000000000001,33.64,58.25
0,153,0,0,0,0,180,765,0,0,0,0,0,135,0,,,1,,,1,,37.42,5.26,13.92
12,0,0,0,0,0,195,760,224,0,0,0,0,0,0,,,1,,1,,,64.25,34.48,60.53
0,0,0,0,0,0,0,760,425,0,0,0,0,0,0,,,1,,,,1,61.88,45.12,54.63
0,50,0,0,0,0,350,758,0,0,0,0,111,0,0,,,1,,,,1,41.61,11.61,21.29
16,0,0,0,0,0,499,751,0,0,0,0,3,0,0,,,1,,,,1,69.4599999999998,20.86,68.3
0,0,0,0,0,58,0,750,100,0,0,0,0,0,185,,,1,,,,1,71.28,31.09,63.96
0,0,0,0,0,0,0,740,454,0,0,0,0,0,0,,,1,,1,,,61.74,43.91,55.1
19,0,0,0,0,0,0,736,448,0,0,0,0,0,0,,,1,,,,1,57.24,35.83,46.35
0,18,0,0,0,0,35,730,173,0,0,0,0,0,110,,,1,,1,,,55.75,17.79,42.92
0,14,0,0,0,0,48,720,160,0,0,0,0,0,110,,,1,,1,,,58.79,20.77,47.43
0,0,0,0,4,0,0,720,460,0,0,0,0,0,0,,,1,,,1,,59.88,39.57,51.85
0,10,0,0,0,0,0,720,327,0,0,0,0,0,0,,,1,,1,,,55.67,30.72,46.44
13,0,0,0,0,0,0,718,0,0,0,0,538,0,0,,,1,,,1,,46.89,48.87,30.84
0,0,0,0,29.7,0,0,717.21,165.47,0,0,0,0,55.85,0,0,0,1,0,0,0,1,46.84,14.93,30.38
0,64,0,0,0,0,84,707,0,0,0,0,0,156,0,,,1,,,1,,39.69,12.4,19.16
0,73,0,0,0,0,0,700,0,0,0,0,0,297,0,,,1,,,1,,38.52,15.3,16.32
0,0,0,0,0,0,0,691,230,0,0,0,0,0,0,,,1,,,,1,65.04000000000001,39.22,58.8
0,0,0,0,0,61,470,680,0,0,0,0,8,0,0,,,1,,,,1,70.45,28.08,70.67
12,0,0,0,0,0,430,680,35,0,0,0,0,0,60,,,1,,1,,,71.19,23.67,71.59
15,0,0,0,0,0,330,680,6,0,0,0,0,0,20,,,1,,,,1,72.05,19.92,71.67
0,0,0,0,0,24,0,680,97,0,0,0,0,0,378,,,1,,1,,,73.37000000000001,29.83,64.27
7,0,0,0,0,0,0,680,400,0,0,0,0,0,120,,,1,,,,1,61.71,38.85,50.9
0,0,0,0,0,0,0,680,0,0,0,0,355,0,0,,,1,1,,,,50.52,54.5,37.16
0,21,0,0,0,0,470,670,0,0,0,0,0,180,0,,,1,,,1,,44.83,20.43,28.38
0,0,0,0,0,170,180,670,75,0,0,0,0,0,350,,,1,,,,1,71.99,25.54,62.83
0,0,0,0,0,170,180,670,75,0,0,0,0,0,350,0,0,1,0,0,0,1,71.99,25.54,62.83
0,6,0,0,0,0,0,668,350,0,0,0,0,0,100,,,1,,1,,,59.82,33.43,49.74
18,0,0,0,0,0,0,668,239,0,0,0,0,0,0,,,1,,1,,,61.9,34.7,55.94
0,0,0,0,0,10,0,655,515,0,0,0,0,0,85,,,1,,,,1,61.68,44.55,51.81
30,0,0,0,0,0,500,650,460,0,0,0,0,0,130,,,1,,,,1,59.33,31.68,49.05
30,0,0,0,0,0,500,650,460,0,0,0,0,0,130,0,0,1,0,0,0,1,59.33,31.68,49.05
0,0,0,0,0,215,330,647,81,0,0,0,0,0,192,,,1,,,,1,70,26.08,63.49
0,0,0,0,0,215,330,647,81,0,0,0,0,0,192,0,0,1,0,0,0,1,70,26.08,63.49
0,11,0,0,0,0,150,640,0,0,0,425,0,0,0,,,1,,1,,,47.1,36.85,31.12
0,102,0,0,0,0,546,620,0,0,0,0,0,0,0,,,1,,1,,,41.59,-2.19,21.44
0,68,0,0,0,0,370,620,0,0,0,0,0,210,0,,,1,1,,,,40.61,13.19,20.38
5,0,0,0,0,0,0,620,440,0,0,0,0,0,150,,,1,,,,1,61.68,39.81,49.94
6,0,0,0,0,0,238,609,66,0,0,0,0,0,341,,,1,,,,1,72.90000000000001,23.49,64.24
0,0,0,0,0,0,0,609,0,0,0,0,216,0,415,,,1,,1,,,56.73,47.08,35.08
6,0,0,0,0,0,672,606,0,0,0,13,0,0,0,,,1,,,1,,72.77,23.59,74.24
6,0,0,0,0,0,150,600,180,0,0,0,0,0,0,,,1,,,,1,63.25,35.16,58.56
